id,deviceName,timestamp,deviceId,rssi,,beaconId,beaconName
560308606,142_(W10T_A7H_3),2022-04-26T13:06:03.364+00:00,509554898,-76,,509542378,W10T_A7H_B-1-7
560308605,142_(W10T_A7H_3),2022-04-26T13:06:03.364+00:00,509554898,-73,,509542314,W10T_A7H_B-1-6
560308661,142_(W10T_A7H_3),2022-04-26T13:06:11.239+00:00,509554898,-75,,509558438,W10T_A7H_B-1-10
560308660,142_(W10T_A7H_3),2022-04-26T13:06:11.239+00:00,509554898,-73,,509542097,W10T_A7H_B-1-2
560308711,142_(W10T_A7H_3),2022-04-26T13:06:18.343+00:00,509554898,-73,,509542378,W10T_A7H_B-1-7
560308709,142_(W10T_A7H_3),2022-04-26T13:06:18.343+00:00,509554898,-74,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560308766,142_(W10T_A7H_3),2022-04-26T13:06:27.460+00:00,509554898,-72,,509558438,W10T_A7H_B-1-10
560308765,142_(W10T_A7H_3),2022-04-26T13:06:27.460+00:00,509554898,-72,,509542378,W10T_A7H_B-1-7
560308764,142_(W10T_A7H_3),2022-04-26T13:06:27.460+00:00,509554898,-74,,509542097,W10T_A7H_B-1-2
560308806,142_(W10T_A7H_3),2022-04-26T13:06:32.553+00:00,509554898,-72,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560308805,142_(W10T_A7H_3),2022-04-26T13:06:32.553+00:00,509554898,-75,,509542378,W10T_A7H_B-1-7
560308804,142_(W10T_A7H_3),2022-04-26T13:06:32.553+00:00,509554898,-75,,509542097,W10T_A7H_B-1-2
560308859,142_(W10T_A7H_3),2022-04-26T13:06:42.668+00:00,509554898,-76,,509542097,W10T_A7H_B-1-2
560308858,142_(W10T_A7H_3),2022-04-26T13:06:42.668+00:00,509554898,-75,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560308857,142_(W10T_A7H_3),2022-04-26T13:06:42.668+00:00,509554898,-76,,509542378,W10T_A7H_B-1-7
560308881,142_(W10T_A7H_3),2022-04-26T13:06:48.777+00:00,509554898,-75,,509558438,W10T_A7H_B-1-10
560308922,142_(W10T_A7H_3),2022-04-26T13:06:53.869+00:00,509554898,-74,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560308921,142_(W10T_A7H_3),2022-04-26T13:06:53.869+00:00,509554898,-72,,509558438,W10T_A7H_B-1-10
560308970,142_(W10T_A7H_3),2022-04-26T13:07:01.983+00:00,509554898,-73,,509542378,W10T_A7H_B-1-7
560308968,142_(W10T_A7H_3),2022-04-26T13:07:01.983+00:00,509554898,-75,,509542097,W10T_A7H_B-1-2
560309045,142_(W10T_A7H_3),2022-04-26T13:07:08.078+00:00,509554898,-79,,509542097,W10T_A7H_B-1-2
560309249,142_(W10T_A7H_3),2022-04-26T13:07:47.499+00:00,509554898,-72,,509542378,W10T_A7H_B-1-7
560309248,142_(W10T_A7H_3),2022-04-26T13:07:47.499+00:00,509554898,-78,,509542097,W10T_A7H_B-1-2
560309287,142_(W10T_A7H_3),2022-04-26T13:07:54.601+00:00,509554898,-73,,509542378,W10T_A7H_B-1-7
560309285,142_(W10T_A7H_3),2022-04-26T13:07:54.601+00:00,509554898,-72,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560309412,142_(W10T_A7H_3),2022-04-26T13:08:09.944+00:00,509554898,-73,,509542378,W10T_A7H_B-1-7
560309410,142_(W10T_A7H_3),2022-04-26T13:08:09.944+00:00,509554898,-73,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560309413,142_(W10T_A7H_3),2022-04-26T13:08:09.944+00:00,509554898,-77,,509542097,W10T_A7H_B-1-2
560309729,142_(W10T_A7H_3),2022-04-26T13:09:02.586+00:00,509554898,-75,,509542097,W10T_A7H_B-1-2
560309728,142_(W10T_A7H_3),2022-04-26T13:09:02.586+00:00,509554898,-72,,509542378,W10T_A7H_B-1-7
560309727,142_(W10T_A7H_3),2022-04-26T13:09:02.586+00:00,509554898,-73,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560309804,142_(W10T_A7H_3),2022-04-26T13:09:10.696+00:00,509554898,-74,,509542097,W10T_A7H_B-1-2
560309803,142_(W10T_A7H_3),2022-04-26T13:09:10.696+00:00,509554898,-72,,509558566,W10T_A7H_B-1-11
560309893,142_(W10T_A7H_3),2022-04-26T13:09:28.551+00:00,509554898,-72,,509542097,W10T_A7H_B-1-2
560309892,142_(W10T_A7H_3),2022-04-26T13:09:28.551+00:00,509554898,-73,,509542314,W10T_A7H_B-1-6
560309891,142_(W10T_A7H_3),2022-04-26T13:09:28.551+00:00,509554898,-75,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560309940,142_(W10T_A7H_3),2022-04-26T13:09:35.656+00:00,509554898,-72,,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560309939,142_(W10T_A7H_3),2022-04-26T13:09:35.656+00:00,509554898,-72,,509542314,W10T_A7H_B-1-6
560309992,142_(W10T_A7H_3),2022-04-26T13:09:48.569+00:00,509554898,-73,,509542378,W10T_A7H_B-1-7
560309991,142_(W10T_A7H_3),2022-04-26T13:09:48.569+00:00,509554898,-79,,509542097,W10T_A7H_B-1-2
560310033,142_(W10T_A7H_3),2022-04-26T13:09:55.675+00:00,509554898,-78,,509542097,W10T_A7H_B-1-2
560310032,142_(W10T_A7H_3),2022-04-26T13:09:55.675+00:00,509554898,-72,,509558438,W10T_A7H_B-1-10
560312453,142_(W10T_A7H_3),2022-04-26T13:16:38.684+00:00,509554898,-73,,509542378,W10T_A7H_B-1-7
